name,platform,platform_igdb
Madden NFL 2004,PS2,PlayStation 2
FIFA Soccer 2004,PS2,PlayStation 2
LEGO Batman: The Videogame,Wii,Wii
wwe Smackdown vs. Raw 2006,PS2,PlayStation 2
Space Invaders,2600,Atari 2600
Rock Band,X360,Xbox 360
Frogger's Adventures: Temple of the Frog,GBA,Game Boy Advance
LEGO Indiana Jones: The Original Adventures,Wii,Wii
Call of Duty 3,Wii,Wii
Rock Band,Wii,Wii
Call of Duty: Black Ops,PC,PC (Microsoft Windows)
Rock Band,PS3,PlayStation 3
Triple Play 99,PS,PlayStation
Adventure,2600,Atari 2600
LEGO Batman: The Videogame,PSP,PlayStation Portable
Combat,2600,Atari 2600
LEGO Harry Potter: Years 5-7,Wii,Wii
NASCAR Thunder 2003,PS2,PlayStation 2
Hitman 2: Silent Assassin,XB,Xbox
Rock Band,PS2,PlayStation 2
Legacy of Kain: Soul Reaver,PS,PlayStation
Donkey Kong Land III,GB,Game Boy
Air-Sea Battle,2600,Atari 2600
Suikoden III,PS2,PlayStation 2
LEGO Harry Potter: Years 5-7,X360,Xbox 360
Wheel of Fortune,PS2,PlayStation 2
Yakuza 4,PS3,PlayStation 3
LEGO Harry Potter: Years 5-7,PS3,PlayStation 3
Namco Museum,XB,Xbox
Rhythm Heaven,Wii,Wii
The Lord of the Rings: War in the North,X360,Xbox 360
Madden NFL 07,PSP,PlayStation Portable
MLB SlugFest 20-03,PS2,PlayStation 2
The Lord of the Rings: War in the North,PS3,PlayStation 3
Shaun White Snowboarding,X360,Xbox 360
PES 2009: Pro Evolution Soccer,PSP,PlayStation Portable
WarioWare: Twisted!,GBA,Game Boy Advance
Madden NFL 11,Wii,Wii
Test Drive Unlimited 2,X360,Xbox 360
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,Game Boy Advance
LEGO Harry Potter: Years 5-7,DS,Nintendo DS
Monster Hunter 2,PS2,PlayStation 2
Metal Gear Solid 2: Substance,XB,Xbox
Test Drive Unlimited 2,PS3,PlayStation 3
Advance Wars: Days of Ruin,DS,Nintendo DS
The Golden Compass,Wii,Wii
Madden NFL 06,X360,Xbox 360
NASCAR: Dirt to Daytona,PS2,PlayStation 2
Madden NFL 2002,XB,Xbox
Def Jam: Fight for NY,XB,Xbox
NBA Street Vol. 2,GC,Nintendo GameCube
Fishing Derby,2600,Atari 2600
Wet,X360,Xbox 360
Sonic the Hedgehog,PS3,PlayStation 3
Karate,2600,Atari 2600
Tiger Woods PGA Tour 07,Wii,Wii
Circus Atari,2600,Atari 2600
The Chronicles of Riddick: Escape from Butcher Bay,XB,Xbox
Maze Craze: A Game of Cops 'n Robbers,2600,Atari 2600
Silent Hill: Homecoming,X360,Xbox 360
Super Breakout,2600,Atari 2600
Robert Ludlum's The Bourne Conspiracy,X360,Xbox 360
NHL Slapshot,Wii,Wii
TERA,PC,PC (Microsoft Windows)
NFL GameDay 2003,PS2,PlayStation 2
LEGO Harry Potter: Years 5-7,3DS,Nintendo 3DS
Harvest Moon: Save the Homeland,PS2,PlayStation 2
Robert Ludlum's The Bourne Conspiracy,PS3,PlayStation 3
Silent Hill: Homecoming,PS3,PlayStation 3
Hangman,2600,Atari 2600
The Golden Compass,PSP,PlayStation Portable
NBA Live 2003,XB,Xbox
Cubix Robots for Everyone: Clash 'n' Bash,GBA,Game Boy Advance
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,Wii
Tropico 4,X360,Xbox 360
Tomb Raider (2013),PC,PC (Microsoft Windows)
Bejeweled 3,DS,Nintendo DS
Custom Robo,N64,Nintendo 64
Final Fantasy XI,PS2,PlayStation 2
Singularity,X360,Xbox 360
Dragster,2600,Atari 2600
All-Star Baseball 2005,PS2,PlayStation 2
Star Wars Jedi Knight II: Jedi Outcast,XB,Xbox
Slot Machine,2600,Atari 2600
The Dukes of Hazzard II: Daisy Dukes It Out,PS,PlayStation
