game name,platform,year
MLB SlugFest 20-03,PS2,2002
PES 2009: Pro Evolution Soccer,PSP,2008
NFL GameDay 2003,PS2,2002
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,2006
Tomb Raider (2013),PC,2013
The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,2004
Jet X20,PS2,2002
Ghostbusters II,2600,1989
Breakaway IV,2600,1978
DanceDanceRevolution II,Wii,2011
James Cameron's Dark Angel,PS2,2002
Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,2012
Luminous Arc 2 (JP sales),DS,2008
Action Man-Operation Extreme,PS,2000
Charm Girls Club: My Fashion Show,DS,2009
Mega Man Battle Network: Operation Shooting Star,DS,2009
Prinny: Can I Really Be The Hero? (US sales),PSP,2008
Mobile Ops: The One Year War,X360,2008
Jewel Link Chronicles: Mountains of Madness,DS,2012
Monster Hunter Frontier Online,PS3,2007
Half-Minute Hero 2,PSP,2011
Housekeeping,DS,2013
Majesty 2: The Fantasy Kingdom Sim,X360,
Samurai Spirits: Tenkaichi Kenkakuden,PS2,2014
Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,2011
Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,2009
Writing and Speaking Beautiful Japanese DS,DS,2007
Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,2007
PDC World Championship Darts 2008,DS,2008
Shorts,DS,2009
AKB1/48: Idol to Guam de Koishitara...,X360,2011
Agarest Senki: Re-appearance,PS3,2007
Hakuouki: Shinsengumi Kitan,PS3,2010
Legacy of Ys: Books I & II,DS,2009
