platform,release_date,game_name,db_name,year
PC,11-Aug-03,Madden NFL 2004,Madden NFL 2004,2003
PS2,11-Aug-03,Madden NFL 2004,Madden NFL 2004,2003
XB,11-Aug-03,Madden NFL 2004,Madden NFL 2004,2003
GC,11-Aug-03,Madden NFL 2004,Madden NFL 2004,2003
PC,4-Nov-03,FIFA Soccer 2004,FIFA Soccer 2004,2003
PS2,7-Nov-03,FIFA Soccer 2004,FIFA Soccer 2004,2003
XB,24-Oct-03,FIFA Soccer 2004,FIFA Soccer 2004,2003
GC,24-Oct-03,FIFA Soccer 2004,FIFA Soccer 2004,2003
Wii,23-Sep-08,LEGO Batman: The Videogame,LEGO Batman: The Videogame,2008
PS2,23-Sep-08,LEGO Batman: The Videogame,LEGO Batman: The Videogame,2008
PS2,11-Nov-05,WWE SmackDown! vs. Raw 2006,wwe Smackdown vs. Raw 2006,2005
PSP,14-Nov-05,WWE SmackDown! vs. Raw 2006,wwe Smackdown vs. Raw 2006,2005
2600,TBD,Space Invaders,Space Invaders,1978
Wii,20-Nov-07,Rock Band,Rock Band,2007
PS2,17-Dec-07,Rock Band,Rock Band,2007
PS3,22-Jun-08,Rock Band,Rock Band,2008
X360,20-Nov-07,Rock Band,Rock Band,2007
GBA,30-Nov-01,Frogger's Adventures: Temple of the Frog,Frogger's Adventures: Temple of the Frog,2001
Wii,3-Jun-08,LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008
PC,3-Jun-08,LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008
PS2,3-Jun-08,LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008
PS3,3-Jun-08,LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008
X360,3-Jun-08,LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008
PSP,6-Jun-08,LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008
Wii,7-Nov-06,Call of Duty 3,Call of Duty 3,2006
PS2,7-Nov-06,Call of Duty 3,Call of Duty 3,2006
PS3,7-Nov-06,Call of Duty 3,Call of Duty 3,2006
XB,14-Nov-06,Call of Duty 3,Call of Duty 3,2006
X360,14-Nov-06,Call of Duty 3,Call of Duty 3,2006
Wii,9-Nov-10,Call of Duty: Black Ops,Call of Duty: Black Ops,2010
PC,9-Nov-10,Call of Duty: Black Ops,Call of Duty: Black Ops,2010
PS3,18-Nov-10,Call of Duty: Black Ops,Call of Duty: Black Ops,2010
X360,9-Nov-10,Call of Duty: Black Ops,Call of Duty: Black Ops,2010
DS,1-Sep-11,Call of Duty: Black Ops,Call of Duty: Black Ops,2011
PC,28-Mar-98,Triple Play 99,Triple Play 99,1998
PS,TBD,Triple Play 99,Triple Play 99,1998
2600,Dec-79,Adventure,Adventure,1979
PSP,23-Sep-08,LEGO Batman: The Videogame,LEGO Batman: The Videogame,2008
2600,1982,Combat Two,Combat,1982
Wii,9-Mar-12,LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012
PC,6-Mar-12,LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012
PS3,11-Nov-11,LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011
X360,22-Mar-12,LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012
PSP,6-Mar-12,LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012
PSV,11-Nov-11,LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2011
PC,19-Sep-02,NASCAR Thunder 2003,NASCAR Thunder 2003,2002
PS2,19-Sep-02,NASCAR Thunder 2003,NASCAR Thunder 2003,2002
XB,29-Sep-02,NASCAR Thunder 2003,NASCAR Thunder 2003,2002
GC,16-Oct-02,NASCAR Thunder 2003,NASCAR Thunder 2003,2002
PC,1-Oct-02,Hitman 2: Silent Assassin,Hitman 2: Silent Assassin,2002
PS2,1-Oct-02,Hitman 2: Silent Assassin,Hitman 2: Silent Assassin,2002
XB,30-Sep-02,Hitman 2: Silent Assassin,Hitman 2: Silent Assassin,2002
GC,19-Jun-03,Hitman 2: Silent Assassin,Hitman 2: Silent Assassin,2003
PC,27-Jan-07,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,2007
PS,8-Sep-99,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,1999
PS3,16-Aug-99,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,1999
PSP,1999,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,1999
GB,26-Feb-15,Donkey Kong Land III,Donkey Kong Land III,2015
3DS,1-Oct-97,Donkey Kong Land III,Donkey Kong Land III,1997
PC,16-Jun-10,Air-Sea Battle,Air-Sea Battle,2010
2600,11-Sep-77,Air-Sea Battle,Air-Sea Battle,1977
PS2,11-Jul-02,Suikoden III,Suikoden III,2002
PS3,22-Oct-02,Suikoden III,Suikoden III,2002
PS2,12-Nov-03,Wheel of Fortune 2003,Wheel of Fortune,2003
